jobTitle,jobClassification,jobSubClassification,advertiserName,companyName,companyRating,listingDate,expiryDate,nation,state,city,area,suburb,workType,salary_string,isRightToWorkRequired,R,Python,Matlab,SQL,Stata,Minitab,SPSS,Ruby,C,Scala,Tableau,Java,Hadoop,SAS,Julia,Knime,D3,Clojure,Haskell,Lisp,Golang,Spark,Javascript,F.,Fortran,first_seen,last_seen,recruiter,jobType,salary,total_skills,experience
Senior Method Development Immunoassay Scientist - Adelaide Location,Science & Technology,Biological & Biomedical Sciences,Hobson Prior Australia,,,16-01-2019 12:17,15-03-2019 16:17,Australia,New South Wales,sydney,"CBD, Inner West & Eastern Suburbs",sydney,Full Time,,f,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,06-03-2019,11-03-2019,1,Data Scientist,136922.76,1,2
Pricing Data Scientist - Lower North Shore ,Information & Communication Technology,Other,Randstad - Technologies,,,04-02-2019 13:02,06-03-2019 23:59,Australia,Australian Capital Territory,canberra,,,Full Time,Super,t,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,06-03-2019,06-03-2019,1,Data Scientist,75341.96,2,3.18
Insights Analyst – Online Video Streaming,Information & Communication Technology,Database Development & Administration,Aurec,,,05-02-2019 11:33,07-03-2019 23:59,Australia,New South Wales,sydney,,,Full Time,$90000 - $120000 per annum,f,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,06-03-2019,07-03-2019,1,Data Analyst,130038.44,2,4.75
Credit Risk Analyst,Banking & Financial Services,Compliance & Risk,Huxley Associates,,,05-02-2019 11:39,07-03-2019 23:59,Australia,New South Wales,sydney,,,Full Time,$90k - $110k p.a.,f,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,06-03-2019,07-03-2019,1,Data Analyst,134819.18,3,4.75
Data Scientist,Information & Communication Technology,Database Development & Administration,FinXL IT Professional Services,,,05-02-2019 12:54,07-03-2019 23:59,Australia,New South Wales,sydney,North Shore & Northern Beaches,,Contract/Temp,,f,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,06-03-2019,07-03-2019,0,Data Scientist,139599.92,4,4.75
Data Scientist,Information & Communication Technology,Database Development & Administration,FinXL IT Professional Services,,,05-02-2019 12:55,07-03-2019 23:59,Australia,New South Wales,sydney,North Shore & Northern Beaches,,Contract/Temp,,f,1,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,06-03-2019,07-03-2019,0,Data Scientist,122110.99,5,10
Data Scientist,Banking & Financial Services,Analysis & Reporting,Macquarie Group Limited,Macquarie Group,,05-02-2019 14:24,07-03-2019 23:59,Australia,New South Wales,sydney,"CBD, Inner West & Eastern Suburbs",sydney,Full Time,,t,1,1,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,06-03-2019,07-03-2019,0,Data Scientist,152881.7,7,5
Data Scientist,Banking & Financial Services,Analysis & Reporting,Bluefin Resources Pty Limited,,,05-02-2019 15:41,07-03-2019 23:59,Australia,New South Wales,sydney,"CBD, Inner West & Eastern Suburbs",sydney,Full Time,$110k - $120k p.a. + super + bonus + benefits,t,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,06-03-2019,07-03-2019,1,Data Scientist,139599.92,4,4.75
Senior Data Scientist,Information & Communication Technology,Consultants,Robert Walters,,,05-02-2019 16:45,07-03-2019 23:59,Australia,Victoria,melbourne,,melbourne,Full Time,Attractive Salary Package,t,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,06-03-2019,07-03-2019,1,Data Scientist,732477.77,2,5.01
Data Scientist,Science & Technology,"Mathematics, Statistics & Information Sciences",Motion Recruitment,,,05-02-2019 17:20,07-03-2019 17:20,Australia,New South Wales,sydney,,,Full Time,,t,1,1,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,06-03-2019,07-03-2019,1,Data Scientist,153942.16,7,4.75
Postdoctoral Fellow,Science & Technology,Other,The Australian National University,Australian National University,3.9,06-02-2019 11:07,08-03-2019 23:59,Australia,Australian Capital Territory,canberra,,,Full Time,"$71,509 - $90,215 per plus superannuation",f,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,06-03-2019,06-03-2019,0,Other,73539.06,1,3.18
Postdoctoral Fellow,Education & Training,Other,The Australian National University,Australian National University,3.9,06-02-2019 11:07,08-03-2019 23:59,Australia,Australian Capital Territory,canberra,,,Full Time,"$71,509 - $90,215 per plus superannuation",f,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,06-03-2019,06-03-2019,0,Other,73539.06,1,3.18
Data Scientist,Information & Communication Technology,Database Development & Administration,CSIRO,CSIRO,,06-02-2019 13:20,08-03-2019 23:59,Australia,Australian Capital Territory,canberra,,blackmountain,Contract/Temp,$134421 - $148725 p.a. + plus up to 15.4% super,t,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,06-03-2019,08-03-2019,0,Data Scientist,82553.53,6,3.18
