1,arnie morton's of chicago,435 s. la cienega blv.,los angeles
2,arnie morton's of chicago,435 s. la cienega blvd.,los angeles
3,art's delicatessen,12224 ventura blvd.,studio city
4,art's deli,12224 ventura blvd.,studio city
5,hotel bel-air,701 stone canyon rd.,bel air
6,bel-air hotel,701 stone canyon rd.,bel air
7,cafe bizou,14016 ventura blvd.,sherman oaks
8,cafe bizou,14016 ventura blvd.,sherman oaks
9,campanile,624 s. la brea ave.,los angeles
10,campanile,624 s. la brea ave.,los angeles
11,chinois on main,2709 main st.,santa monica
12,chinois on main,2709 main st.,santa monica
13,citrus,6703 melrose ave.,los angeles
14,fenix,8358 sunset blvd. west,hollywood
15,fenix at the argyle,8358 sunset blvd.,w. hollywood
16,granita,23725 w. malibu rd.,malibu
17,grill on the alley,9560 dayton way,los angeles
18,grill  the,9560 dayton way,beverly hills
19,restaurant katsu,1972 n. hillhurst ave.,los angeles
20,katsu,1972 hillhurst ave.,los feliz
21,l'orangerie,903 n. la cienega blvd.,los angeles
22,l'orangerie,903 n. la cienega blvd.,w. hollywood
23,le chardonnay,8284 melrose ave.,los angeles
24,le chardonnay (los angeles),8284 melrose ave.,los angeles
25,locanda veneta,3rd st.,los angeles
26,locanda veneta,8638 w. third st.,los angeles
27,matsuhisa,129 n. la cienega blvd.,beverly hills
28,matsuhisa,129 n. la cienega blvd.,beverly hills
29,the palm,9001 santa monica blvd.,los angeles
30,palm  the (los angeles),9001 santa monica blvd.,w. hollywood
31,patina,5955 melrose ave.,los angeles
32,philippe's the original,1001 n. alameda st.,los angeles
33,philippe the original,1001 n. alameda st.,chinatown
34,pinot bistro,12969 ventura blvd.,los angeles
35,pinot bistro,12969 ventura blvd.,studio city
36,rex il ristorante,617 s. olive st.,los angeles
37,rex il ristorante,617 s. olive st.,los angeles
38,spago,1114 horn ave.,los angeles
39,spago (los angeles),8795 sunset blvd.,w. hollywood
40,valentino,3115 pico blvd.,santa monica
41,yujean kang's gourmet chinese cuisine,67 n. raymond ave.,los angeles
42,yujean kang's,67 n. raymond ave.,pasadena
43,21 club,21 w. 52nd st.,new york
44,21 club,21 w. 52nd st.,new york city
45,aquavit,13 w. 54th st.,new york
46,aquavit,13 w. 54th st.,new york city
47,aureole,34 e. 61st st.,new york
48,aureole,34 e. 61st st.,new york city
49,cafe lalo,201 w. 83rd st.,new york
50,cafe lalo,201 w. 83rd st.,new york city
51,cafe des artistes,1 w. 67th st.,new york
52,cafe des artistes,1 w. 67th st.,new york city
53,carmine's,2450 broadway  between 90th and 91st sts.,new york
54,carmine's,2450 broadway,new york city
55,carnegie deli,854 7th ave.  between 54th and 55th sts.,new york
56,carnegie deli,854 seventh ave.,new york city
57,chanterelle,2 harrison st.  near hudson st.,new york
58,chanterelle,2 harrison st.,new york city
59,daniel,20 e. 76th st.,new york
60,daniel,20 e. 76th st.,new york city
61,dawat,210 e. 58th st.,new york
62,dawat,210 e. 58th st.,new york city
63,felidia,243 e. 58th st.,new york
64,felidia,243 e. 58th st.,new york city
65,four seasons grill room,99 e. 52nd st.,new york
66,four seasons,99 e. 52nd st.,new york city
67,gotham bar & grill,12 e. 12th st.,new york
68,gotham bar & grill,12 e. 12th st.,new york city
69,gramercy tavern,42 e. 20th st.  between park ave. s and broadway,new york
70,gramercy tavern,42 e. 20th st.,new york city
71,island spice,402 w. 44th st.,new york
72,island spice,402 w. 44th st.,new york city
73,jo jo,160 e. 64th st.,new york
74,jo jo,160 e. 64th st.,new york city
75,la caravelle,33 w. 55th st.,new york
76,la caravelle,33 w. 55th st.,new york city
77,la cote basque,60 w. 55th st.  between 5th and 6th ave.,new york
78,la cote basque,60 w. 55th st.,new york city
79,le bernardin,155 w. 51st st.,new york
80,le bernardin,155 w. 51st st.,new york city
81,les celebrites,160 central park s,new york
82,les celebrites,155 w. 58th st.,new york city
83,lespinasse,2 e. 55th st.,new york
84,lespinasse (new york city),2 e. 55th st.,new york city
85,lutece,249 e. 50th st.,new york
86,lutece,249 e. 50th st.,new york city
87,manhattan ocean club,57 w. 58th st.,new york
88,manhattan ocean club,57 w. 58th st.,new york city
89,march,405 e. 58th st.,new york
90,march,405 e. 58th st.,new york city
91,mesa grill,102 5th ave.  between 15th and 16th sts.,new york
92,mesa grill,102 fifth ave.,new york city
93,mi cocina,57 jane st.  off hudson st.,new york
94,mi cocina,57 jane st.,new york city
95,montrachet,239 w. broadway  between walker and white sts.,new york
96,montrachet,239 w. broadway,new york city
97,oceana,55 e. 54th st.,new york
98,oceana,55 e. 54th st.,new york city
99,park avenue cafe,100 e. 63rd st.,new york
100,park avenue cafe (new york city),100 e. 63rd st.,new york city
101,petrossian,182 w. 58th st.,new york
102,petrossian,182 w. 58th st.,new york city
103,picholine,35 w. 64th st.,new york
104,picholine,35 w. 64th st.,new york city
105,pisces,95 ave. a at 6th st.,new york
106,pisces,95 ave. a,new york city
107,rainbow room,30 rockefeller plaza,new york
108,rainbow room,30 rockefeller plaza,new york city
109,river cafe,1 water st. at the east river,brooklyn
110,river cafe,1 water st.,brooklyn
111,san domenico,240 central park s,new york
112,san domenico,240 central park s.,new york city
113,second avenue deli,156 2nd ave. at 10th st.,new york
114,second avenue deli,156 second ave.,new york city
115,seryna,11 e. 53rd st.,new york
116,seryna,11 e. 53rd st.,new york city
117,shun lee west,43 w. 65th st.,new york
118,shun lee palace,155 e. 55th st.,new york city
119,sign of the dove,1110 3rd ave. at 65th st.,new york
120,sign of the dove,1110 third ave.,new york city
121,smith & wollensky,201 e. 49th st.,new york
122,smith & wollensky,797 third ave.,new york city
123,tavern on the green,in central park at 67th st.,new york
124,tavern on the green,central park west,new york city
125,uncle nick's,747 9th ave.  between 50th and 51st sts.,new york
126,uncle nick's,747 ninth ave.,new york city
127,union square cafe,21 e. 16th st.,new york
